,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,NaturalGas_Percentage,Electricity_Percentage,SteamUse_Percentage,ParkingGFA_Percentage,Neighborhood_EUI/SF,PrimaryPropertyType_EUI/SF
0,Hotel,DOWNTOWN,0.6931471805599453,2.5649493574615367,11.390023097868895,0.0,11.390023097868895,Hotel,11.390023097868895,none,0.0,none,0.0,15.793246493880627,5.525373254682162,96,17.66383848028659,54.6059929874816,27.7301616131214,0.0,4.325498216102434,4.417716568784282
1,Hotel,DOWNTOWN,0.6931471805599453,2.4849066497880004,11.547974025246633,9.620129451564402,11.39079172872657,Hotel,11.33715440673783,Parking,9.620129451564402,Restaurant,8.438799123988225,15.942304802589588,5.6932606471966185,27,61.33909271807488,38.66090728192512,0.0,2.7437592491104907,4.325498216102434,4.417716568784282
2,Hotel,DOWNTOWN,0.6931471805599453,3.7376696182833684,13.770629294080045,12.189531593509932,13.540274708933826,Hotel,13.536449880916702,none,0.0,none,0.0,18.100296744814614,7.6450533072773705,54,2.0579435795576906,68.23074052464253,29.711307629859572,3.0715273229658906,4.325498216102434,4.417716568784282
3,Hotel,DOWNTOWN,0.6931471805599453,2.3978952727983707,11.023877640745798,0.0,11.023877640745798,Hotel,11.023877640745798,none,0.0,none,0.0,15.731636529382916,5.660979352330892,97,26.65671658485641,40.75192830054055,32.59134407639968,0.0,4.325498216102434,4.417716568784282
4,Hotel,DOWNTOWN,0.6931471805599453,2.9444389791664403,12.075855753873482,11.034905792929415,11.640271517759631,Hotel,11.723559092466278,Parking,11.127410032169685,Swimming Pool,0.0,16.466821574984518,6.226556431938032,43,62.11982468150177,37.88016826263286,0.0,3.592135566782256,4.325498216102434,4.417716568784282
5,Other,DOWNTOWN,0.6931471805599453,1.0986122886681098,11.48544120936798,10.524037158179487,11.003615358893612,Police Station,11.394490967158449,none,0.0,none,0.0,16.307609365403174,5.713105546117053,24,39.011597621699906,60.9884023783001,0.0,3.6695674555558178,4.325498216102434,4.666034874744712
6,Hotel,DOWNTOWN,0.6931471805599453,2.4849066497880004,11.326704314635162,0.0,11.326704314635162,Hotel,11.306552989656216,none,0.0,none,0.0,15.566238983044945,5.176940380381437,97,51.18397164684626,48.81602835315374,0.0,0.0,4.325498216102434,4.417716568784282
7,Other,DOWNTOWN,0.6931471805599453,2.1972245773362196,11.540170913860424,0.0,11.540170913860424,Other - Entertainment/Public Assembly,11.540170913860424,none,0.0,none,0.0,15.6557637188467,5.404972044416576,97,6.115925016808556,57.74180802671396,36.14225107875249,0.0,4.325498216102434,4.666034874744712
8,Hotel,DOWNTOWN,0.6931471805599453,2.772588722239781,12.007530239208668,0.0,12.007530239208668,Hotel,12.007530239208668,none,0.0,none,0.0,16.434643640030767,5.974216653698429,119,46.822969115013166,53.17702359838587,0.0,0.0,4.325498216102434,4.417716568784282
10,Hotel,DOWNTOWN,0.6931471805599453,2.4849066497880004,11.9392645217297,9.866823568164536,11.804736501505687,Hotel,11.804736501505687,none,0.0,none,0.0,16.589139051954007,6.539961607594982,54,28.669239323793423,38.6324813113159,32.698269999632885,2.6091313860652767,4.325498216102434,4.417716568784282
11,Hotel,DOWNTOWN,0.6931471805599453,3.258096538021482,12.716429159281265,11.021281360620167,12.51361616707751,Hotel,12.726772359619336,none,0.0,none,0.0,17.109163967888286,6.609308811083168,25,10.610921376290731,67.12065315794338,22.26842360986611,2.963052276540554,4.325498216102434,4.417716568784282
12,Hotel,DOWNTOWN,0.6931471805599453,2.302585092994046,11.082296383198514,0.0,11.082296383198514,Hotel,11.082296383198514,none,0.0,none,0.0,15.701982831633819,5.796756594662978,95,54.52810258248961,20.36064725027033,25.11125016724005,0.0,4.325498216102434,4.417716568784282
13,Hotel,DOWNTOWN,0.6931471805599453,3.5263605246161616,12.66334874732981,10.961295207644392,12.462082145801965,Hotel,12.596464724140818,Parking,10.961295207644392,none,0.0,16.921234033977285,6.476387576550862,43,18.290586437918773,62.27975946999117,19.429642894064347,2.9565036604353376,4.325498216102434,4.417716568784282
14,Hotel,DOWNTOWN,0.6931471805599453,2.4849066497880004,11.431617790897278,10.134638955251866,11.112313560992032,Hotel,11.11826675682705,Parking,10.134638955251866,none,0.0,16.190417335793235,6.239086053829017,101,19.039917172170075,35.64991102333858,45.310167153332884,3.3440925641347934,4.325498216102434,4.417716568784282
15,Other,DOWNTOWN,0.6931471805599453,2.4849066497880004,12.928781055513184,10.950824090522445,12.779875885354993,Library,12.80741698836436,Parking,10.799595985047786,Data Center,6.980075940561763,16.738073088320842,5.206092422505519,19,0.0,96.03223113197905,3.96775003953981,2.6969859814968298,4.325498216102434,4.666034874744712
