iter	RMSE
0	1.298337706
1	1.290623336
2	1.282813131
3	1.274622227
4	1.266839123
5	1.259318336
6	1.251941406
7	1.245542029
8	1.239239567
9	1.232191808
10	1.225545889
11	1.218737435
12	1.212111349
13	1.205624176
14	1.19845815
15	1.191501316
16	1.184649678
17	1.178309383
18	1.171901681
19	1.165322007
20	1.159121409
21	1.152971215
22	1.146426511
23	1.140366867
24	1.13425443
25	1.128112733
26	1.122320215
27	1.11595519
28	1.110591253
29	1.105228668
30	1.099249169
31	1.093912002
32	1.088186138
33	1.08313424
34	1.077598878
35	1.07227868
36	1.066870664
37	1.061922768
38	1.056499491
39	1.051550022
40	1.046209535
41	1.041264974
42	1.036167158
43	1.031232794
44	1.026080347
45	1.021001445
46	1.016330709
47	1.011882907
48	1.00725727
49	1.002524056
50	0.9977763903
51	0.9931357804
52	0.9890572158
53	0.9847344154
54	0.9804150565
55	0.9759854401
56	0.9712916355
57	0.967382914
58	0.9634167932
59	0.9595732976
60	0.9555790659
61	0.9518532349
62	0.9479814749
63	0.9439619458
64	0.9402080325
65	0.9361093051
66	0.9321095497
67	0.9284993232
68	0.9247872662
69	0.9210254836
70	0.9177144755
71	0.9142522497
72	0.9108868846
73	0.9073631017
74	0.9040260085
75	0.9008861623
76	0.8974726676
77	0.8943706676
78	0.8910577896
79	0.8878725672
80	0.8849082224
81	0.8817756297
82	0.8783566155
83	0.8756848441
84	0.8727966327
85	0.8700055481
86	0.8672395636
87	0.8641935113
88	0.8611871454
89	0.8582537757
90	0.8553482161
91	0.8525871649
92	0.8498176731
93	0.847140892
94	0.8441597546
95	0.8415713445
96	0.8389692784
97	0.8362700368
98	0.8337899865
99	0.8313894123
100	0.8287826877
101	0.8263597305
102	0.8242576537
103	0.8220938682
104	0.8196851155
105	0.8173280043
106	0.8149436094
107	0.8130157989
108	0.8105696459
109	0.808083339
110	0.8061278592
111	0.8038716684
112	0.8015806525
113	0.799599626
114	0.7971657063
115	0.7949616571
116	0.7927960478
117	0.7906248466
118	0.7887625467
119	0.7868120689
120	0.7850086926
121	0.7827582032
122	0.7808483663
123	0.7786432553
124	0.7763920699
125	0.7744716966
126	0.7728956699
127	0.771180125
128	0.7694489221
129	0.7677115208
130	0.7658825826
131	0.7643531085
132	0.7626795653
133	0.7608079968
134	0.7591950032
135	0.7575671877
136	0.7559295051
137	0.7541822662
138	0.7525999145
139	0.7509910446
140	0.749291673
141	0.747474225
142	0.7458846119
143	0.7441373112
144	0.7427751872
145	0.7413931609
146	0.7397487141
147	0.7383852727
148	0.7368017657
149	0.7354474017
150	0.734042784
151	0.7326590444
152	0.7312162521
153	0.729669361
