iter	Passed	Remaining
0	33	33863
1	64	31962
2	95	31752
3	122	30589
4	152	30408
5	184	30523
6	218	30994
7	249	30905
8	282	31136
9	315	31263
10	348	31349
11	382	31466
12	414	31495
13	446	31458
14	479	31474
15	509	31316
16	538	31165
17	569	31072
18	601	31037
19	638	31281
20	669	31204
21	699	31094
22	728	30962
23	759	30869
24	790	30815
25	821	30765
26	852	30733
27	883	30655
28	913	30571
29	942	30464
30	972	30387
31	1001	30294
32	1032	30246
33	1063	30226
34	1093	30157
35	1124	30105
36	1154	30050
37	1187	30053
38	1217	30007
39	1248	29955
40	1280	29951
41	1311	29922
42	1342	29888
43	1373	29841
44	1403	29779
45	1434	29745
46	1468	29775
47	1500	29761
48	1532	29733
49	1561	29675
50	1592	29629
51	1621	29570
52	1652	29517
53	1681	29458
54	1712	29422
55	1742	29379
56	1772	29324
57	1802	29270
58	1832	29232
59	1863	29198
60	1894	29165
61	1926	29146
62	1957	29118
63	1988	29077
64	2019	29048
65	2051	29027
66	2082	29001
67	2115	28991
68	2148	28987
69	2180	28971
70	2213	28961
71	2247	28971
72	2282	28987
73	2315	28970
74	2348	28959
75	2384	28995
76	2415	28956
77	2448	28938
78	2479	28911
79	2510	28871
80	2541	28840
81	2573	28813
82	2605	28782
83	2638	28772
84	2670	28746
85	2704	28744
86	2734	28700
87	2766	28673
88	2798	28642
89	2828	28599
90	2858	28554
91	2888	28509
92	2918	28466
93	2949	28428
94	2979	28380
95	3008	28333
96	3039	28298
97	3071	28268
98	3109	28298
99	3140	28267
100	3172	28236
101	3204	28213
102	3234	28164
103	3264	28124
104	3293	28073
105	3324	28034
106	3355	28000
107	3385	27961
108	3415	27919
109	3447	27892
110	3478	27860
111	3508	27819
112	3538	27779
113	3570	27745
114	3600	27707
115	3629	27658
116	3660	27625
117	3692	27599
118	3723	27562
119	3753	27524
120	3783	27487
121	3814	27451
122	3848	27441
123	3878	27398
124	3909	27364
125	3939	27328
126	3960	27221
127	3990	27184
128	4022	27158
129	4052	27118
130	4083	27086
131	4114	27055
132	4146	27029
133	4181	27021
134	4211	26987
135	4242	26950
136	4271	26909
137	4302	26876
138	4333	26845
139	4364	26810
140	4394	26771
141	4424	26731
142	4462	26745
143	4499	26748
144	4529	26709
145	4558	26666
146	4590	26635
147	4619	26594
148	4649	26553
149	4678	26512
150	4708	26476
151	4739	26441
152	4772	26422
153	4805	26397
154	4836	26366
155	4868	26339
156	4901	26319
157	4947	26364
158	4986	26377
159	5021	26363
160	5055	26345
161	5089	26326
162	5122	26305
163	5155	26282
164	5187	26254
165	5218	26216
166	5248	26181
167	5277	26137
168	5309	26106
169	5339	26069
170	5369	26033
171	5401	26003
172	5433	25974
173	5467	25953
174	5500	25930
175	5513	25813
176	5549	25805
177	5581	25777
178	5614	25750
179	5646	25722
180	5680	25704
181	5713	25680
182	5746	25655
183	5784	25654
184	5816	25625
185	5849	25599
186	5884	25585
187	5914	25547
188	5945	25510
189	5975	25474
190	6006	25439
191	6039	25416
192	6073	25395
